1 2.5 2350.017318 -71.069211 2421.086529 1
4 2.368523 1483.288684 -231.944306 1715.23299 1
2 2.368523 1072.903599 -653.59741 1726.501009 1
5 2.913977 253.965492 195.20632 58.759172 1
4 2.777363 1483.288684 -231.944306 1715.23299 1
5 2.913977 253.965492 195.20632 58.759172 1
3 2.5 -332.614785 498.072102 -830.686887 1
4 2.721928 114.569684 322.020401 -207.450717 1
4 2.721928 114.569684 322.020401 -207.450717 1
3 2.646439 -230.899028 494.875469 -725.774497 1
3 2.646439 -230.899028 494.875469 -725.774497 1
2 2.5 -676.18422 1003.702348 -1679.886568 1
3 2.947703 113.088429 486.363314 -373.274885 1
3 3 -223.762803 485.966324 -709.729127 1
3 3 -279.047441 498.208182 -777.255624 1
4 2.721928 114.569684 322.020401 -207.450717 1
3 2.725481 -230.899028 494.875469 -725.774497 1
4 2.921928 -153.645721 329.91698 -483.5627 1
5 2.807355 593.563944 -19.075783 612.639727 1
5 2.973557 593.563944 -19.075783 612.639727 1
4 3.323231 574.956874 -129.671451 704.628325 1
8 4.354885 838.989423 -129.473282 968.462705 1
6 4.623182 258.013083 126.655164 131.357919 1
5 4.686921 -186.270687 1120.93435 -1307.205037 1
4 2.663533 114.569684 322.020401 -207.450717 1
4 4.172405 53.171761 485.194647 -432.022887 1
4 4.188438 53.171761 485.194647 -432.022887 1
4 4.123711 53.171761 485.194647 -432.022887 1
4 4.067142 53.171761 485.194647 -432.022887 1
4 4.003867 53.171761 485.194647 -432.022887 1
5 3.923856 -5.768763 345.740915 -351.509678 1
7 3.308271 405.539278 -115.985349 521.524627 1
4 1.5 91.267169 -11.045581 102.312749 1
3 3.789898 398.982127 -14.461829 413.443956 1
1 3.67965 2350.017318 -71.069211 2421.086529 1
5 4.555693 -204.761729 355.625737 -560.387466 1
8 4.527778 -241.118849 928.763991 -1169.882839 1
8 4.003045 -262.757749 545.430984 -808.188733 1
3 1.921928 656.633347 -178.372128 835.005475 1
6 3.026987 240.555808 95.48732 145.068488 1
1 0 332.99917 -73.451152 406.450321 1
1 0 37.031637 -15.151842 52.183479 1
6 3.484184 -216.418283 573.124375 -789.542657 1
4 2.663533 47.270083 324.987333 -277.71725 1
8 3.779471 -55.634087 738.006734 -793.640821 1
8 3.767894 -55.634087 738.006734 -793.640821 1
5 3.511085 1361.463784 -255.910383 1617.374167 1
6 4.344187 240.555808 95.48732 145.068488 1
8 4.027518 -55.634087 738.006734 -793.640821 1
4 3.912114 663.156724 -232.101591 895.258315 1
5 3.026987 150.899887 200.733244 -49.833357 1
4 4.224881 898.021905 -126.811331 1024.833236 1
6 4.764638 353.322469 -14.809815 368.132283 1
6 4.774703 353.322469 -14.809815 368.132283 1
6 4.80137 353.322469 -14.809815 368.132283 1
6 4.774703 353.322469 -14.809815 368.132283 1
8 4.436243 591.842609 -60.792489 652.635098 1
8 4.455466 591.842609 -60.792489 652.635098 1
8 4.552308 591.842609 -60.792489 652.635098 1
8 4.522364 591.842609 -60.792489 652.635098 1
3 3.831402 -391.234763 1228.672276 -1619.907039 0
6 4.402039 -484.585222 1496.301553 -1980.886775 0
6 4.526976 -484.585222 1496.301553 -1980.886775 0
6 4.526085 -484.585222 1496.301553 -1980.886775 0
6 4.47437 -484.585222 1496.301553 -1980.886775 0
6 4.423755 -484.585222 1496.301553 -1980.886775 0
6 4.415095 -484.585222 1496.301553 -1980.886775 0
6 4.41534 -484.585222 1496.301553 -1980.886775 0
6 4.528751 -484.585222 1496.301553 -1980.886775 0
6 4.494818 -484.585222 1496.301553 -1980.886775 0
6 4.357405 -484.585222 1496.301553 -1980.886775 0
6 4.347656 -484.585222 1496.301553 -1980.886775 0
6 4.396782 -484.585222 1496.301553 -1980.886775 0
6 4.449843 -484.585222 1496.301553 -1980.886775 0
6 4.455312 -484.585222 1496.301553 -1980.886775 0
6 4.515225 -484.585222 1496.301553 -1980.886775 0
6 4.390453 -484.585222 1496.301553 -1980.886775 0
6 4.513632 -484.585222 1496.301553 -1980.886775 0
6 4.438385 -484.585222 1496.301553 -1980.886775 0
12 4.799938 -477.538859 1209.020952 -1686.559811 0
8 4.727787 -505.093193 1503.98934 -2009.082533 0
5 4.387935 -436.446409 1556.970036 -1993.416445 0
1 2.521641 -2088.230313 3031.103324 -5119.333637 0
2 3.75 -624.96597 2095.578723 -2720.544693 0
2 3.787144 -624.96597 2095.578723 -2720.544693 0
2 3.664498 -624.96597 2095.578723 -2720.544693 0
2 3.773557 -624.96597 2095.578723 -2720.544693 0
2 3.773557 -624.96597 2095.578723 -2720.544693 0
3 3.506891 -675.520399 1726.133203 -2401.653602 0
2 3.454822 -624.96597 2095.578723 -2720.544693 0
2 3.321928 -1413.804252 2043.397815 -3457.202067 0
2 4.756619 -696.076771 1103.191461 -1799.268232 0
2 3.251629 -860.40624 1412.286082 -2272.692322 0
2 3.321928 -624.96597 2095.578723 -2720.544693 0
4 4.173034 -529.42736 1955.371438 -2484.798798 0
1 2.251629 -620.860663 843.143601 -1464.004264 0
2 3.46132 -624.96597 2095.578723 -2720.544693 0
10 5.026962 -418.655753 1354.645096 -1773.300849 0
9 4.94883 -88.060453 745.523591 -833.584045 0
9 5.019598 -80.634235 735.732893 -816.367129 0
9 5.027558 -88.060453 745.523591 -833.584045 0
9 4.980366 -88.060453 745.523591 -833.584045 0
10 5.144302 -418.655753 1354.645096 -1773.300849 0
9 5.002548 -88.060453 745.523591 -833.584045 0
10 4.990128 -418.655753 1354.645096 -1773.300849 0
17 5.110596 -80.767836 605.840939 -686.608776 0
